,simbad_id,source_id,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun),updated_class
44,ZTF J212037.06-035114.3,2684439772151746688,2.11844765525867,5.7150322e-05,0.0812370844736341,0.0375322,34.94140490821594,1.2644969,,,SB1,0.24281609,0.2575377,0.27179235,0.2856327,0.2991019,0.3122358,SSG
45,TYC 7222-557-1,3466031362263990912,57.62967306251208,0.009019697,0.0212015335213817,0.0067504845,27.29514925252647,0.20015565,,,SB1,0.70708376,0.7445517,0.7807714,0.8158851,0.85000974,0.8832421,RS
46,CD-51   139,4926158992652398720,57.47380890993601,0.00805371,0.4133529418899384,0.003377922,22.465689017345618,0.1063686,,,SB1,0.48191452,0.50911015,0.5354144,0.5609288,0.5857366,0.60990673,RS
47,TYC 3262-1653-1,389680699138908800,38.00642406249108,0.010249267,0.2762486869712031,0.018476402,30.259604898848657,0.5034215,,,SB1,0.6381275,0.6725847,0.70589834,0.7381989,0.7695932,0.80017006,RS
48,HD 161570,1349329916673137024,45.62336808911685,0.0027891255,0.0019459071421554,0.002867893,23.403953150839907,0.061466247,,,SB1,0.51897895,0.547956,0.5759798,0.60315925,0.62958324,0.6553257,RS
49,ASAS J163329+0403.0,4435007766997784832,38.05108895254039,0.04113511,0.070933553125987,0.026271416,8.911358067893099,0.24176617,,,SB1,0.15452713,0.1641611,0.17349489,0.18256208,0.19139023,0.2000023,RS
50,UCAC4 149-012311,5291028971393876992,41.8609323144838,0.016528666,0.0368001311256174,0.022749804,15.059278117678684,0.3273473,,,SB1,0.29094884,0.30832815,0.32515162,0.34148216,0.35737124,0.37286165,RS
51,BD+11  3024,4447280172195656576,21.95090029297565,0.0038897404,0.0132271907073486,0.013813658,10.201794168802056,0.10937108,,,SB1,0.14697978,0.15616547,0.16506541,0.17371157,0.18213017,0.19034304,RS
52,TYC 3525-477-1,2115440516209286016,36.356552918279384,0.01036375,0.0303125209464429,0.012832897,22.00764628274477,0.28426826,,,SB1,0.43551666,0.46042806,0.48452693,0.5079058,0.53064024,0.5527933,RS
53,TYC 3927-1130-1,2153356762376955392,8.301089579804927,0.0007831427,0.0215257217396905,0.023918938,35.480038962929335,0.56688005,,,SB1,0.42767328,0.4521924,0.4759125,0.49892452,0.5213029,0.54310936,RS
