,star,2MASS ID,source_id,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,2MASS_qph,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
1417,CSS J104711.8+104050,2MASS 10471196+1040503,3869713139390418176,WISEA J104711.92+104050.3,,161.79972283216935,10.680645016608542,1186.1070803303803,,3.93,0.09,-0.6489,14.414134,338.62726,14.924088,89.897545,13.740627,113.92924,12.827,0.023,12.291,0.023,12.199,0.026,12.095,0.023,12.142,0.024,11.772,,8.718,,,,,,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
1418,CSS J103908.6+112751,2MASS 10390872+1127508,3870798116849320576,WISEA J103908.72+112750.8,GALEX J103908.7+112749,159.7863599509711,11.464102969774135,1002.1490056486105,,8.17,0.09,-0.1308,14.575668,190.18402,15.318343,48.43053,13.733608,69.8472,12.447,0.022,11.794,0.022,11.607,0.021,11.555,0.023,11.508,0.022,11.217,0.179,8.947,,,,21.836599349975582,0.2876999974250793,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1419,ZTF J100842.28+065730.3,2MASS 10084227+0657304,3874011881962353152,WISEA J100842.27+065730.3,GALEX J100842.2+065730,152.17617511060982,6.958403643093141,743.5114857359764,,5.39,0.05,-0.2191,13.0848875,229.32234,13.695585,65.21611,12.332714,77.09794,11.191,0.025,10.619,0.025,10.468,0.021,10.468,0.023,10.463,0.021,10.368,0.076,9.053,,,,20.24360084533692,0.1684000045061111,,,,,AAA,0000,AAAU,SSG,SSG,,,,,,,,,,,,,,,
1420,CSS J100821.1+084332,2MASS 10082113+0843324,3875222306825444480,WISEA J100821.13+084332.2,GALEX J100821.1+084332,152.08809569477293,8.725611251585695,991.5633522322524,,5.3,0.08,-0.5916,12.780324,497.4719,13.21668,150.75346,12.163646,156.71759,11.385,0.023,10.836,0.032,10.734,0.02,10.684,0.022,10.659,0.021,10.576,0.101,8.465,,,,17.721900939941406,0.0289999991655349,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
1421,EQ Leo,2MASS 10132387+1208457,3880838822674190720,WISEA J101323.87+120845.7,,153.3494078662679,12.146038532804312,503.6487579248246,,34.11,0.1,-0.4777,9.05959,483.15063,9.674614,116.103294,8.311586,161.49715,7.287,0.018,6.718,0.018,6.564,0.016,6.501,0.078,6.529,0.023,6.489,0.017,6.417,0.06,,,,,,,,,AAA,0000,AAAA,RS,SSG,,,,,,,,,,,,,,,
1422,ZTF J100241.37+115858.2,2MASS 10024138+1158582,3881207502667110144,WISEA J100241.35+115858.3,,150.6724016722196,11.98283213967177,1981.4998175545795,,20.36,0.1,-0.5413,14.539487,701.2775,15.031079,184.65123,13.87427,248.83781,12.981,0.032,12.441,0.033,12.362,0.032,12.223,0.023,12.204,0.023,11.981,0.347,8.93,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1423,ZTF J103303.83+131300.3,2MASS 10330384+1313002,3883990018703753344,WISEA J103303.83+131300.2,,158.2659572090815,13.21674903861286,1204.5975269591909,,10.46,0.08,-0.109,13.67469,186.45815,14.262981,48.671684,12.946836,62.265846,11.769,0.022,11.206,0.019,11.104,0.022,11.104,0.023,11.132,0.022,10.846,0.151,7.976,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1424,IN Leo,2MASS 10395900+1327220,3884704946075965696,WISEA J103959.00+132721.8,GALEX J103959.0+132722,159.99585907089082,13.45601320273339,234.03747952389335,,6.22,0.11,,9.997467,296.17075,10.531543,105.17114,9.305071,120.05461,8.288,0.023,7.771,0.049,7.632,0.018,7.606,0.031,7.634,0.021,7.548,0.021,7.741,0.251,19.69960021972656,0.1596,16.4862003326416,0.0130000002682209,,,,,AAA,0000,AAAB,RS,RS,,,,,,,,,,,,,,,
1425,CSS J102618.9+183510,2MASS 10261891+1835103,3890959552329818752,WISEA J102618.91+183510.4,GALEX J102618.9+183510,156.5788205317009,18.586220546396785,1398.6399656159415,,7.86,0.06,-0.3421,14.452617,249.7878,15.0394125,73.8198,13.706943,91.46102,12.934,0.023,12.349,0.022,12.203,0.022,11.988,0.023,11.943,0.022,11.754,0.277,8.543,,,,21.743900299072266,0.2102999985218048,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1426,ZTF J123921.35+102340.8,2MASS 12392134+1023407,3903466806333755776,WISEA J123921.34+102340.8,,189.8389367332619,10.394665642528746,1102.3841050517558,,3.48,0.06,-0.1288,14.282534,359.6002,14.906884,103.618195,13.508817,109.27063,12.421,0.024,11.809,0.022,11.672,0.023,11.607,0.021,11.589,0.022,11.369,0.213,8.745,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1427,OS Leo,2MASS 11333699+0751289,3910734887431083904,WISEA J113336.96+075128.3,,173.40398444327738,7.857794516241146,297.69640356070994,,5.71,0.12,-0.4226,11.008295,405.0846,11.559378,120.09617,10.297694,160.6174,9.355,0.024,8.755,0.047,8.622,0.024,8.479,0.022,8.499,0.02,8.386,0.025,8.129,0.309,,,,,,,,,AAA,0000,AAAB,RS,SSG,,,,,,,,,,,,,,,
1428,NP Com,2MASS 12484826+1445303,3930914980250061824,WISEA J124848.29+144529.8,,192.20124534840645,14.758237172382652,256.7281899959495,49.3655,2.46,0.07,-0.0397,9.533147,792.1909,10.050766,245.0008,8.849647,282.24124,8.008,0.026,7.463,0.021,7.365,0.023,7.152,0.038,7.278,0.019,7.226,0.018,6.952,0.087,,,,,Yes,Absorption,Normal Emission,Normal Emission,AAA,0000,AAAA,RS,SSG,,,,,,,,,,,,,,,
1429,CSS J125731.8+145638,2MASS 12573190+1456379,3931119867369863680,WISEA J125731.89+145637.9,GALEX J125731.8+145638,194.38287499543452,14.943888417810426,1183.5971692770784,,5.18,0.06,,14.4915695,186.67879,15.152161,52.60489,13.685542,69.56861,12.349,0.022,11.743,0.023,11.605,0.02,11.681,0.023,11.601,0.021,11.513,0.187,8.866,,,,20.86930084228516,0.1351000070571899,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1430,BD +142519,2MASS 12355741+1329253,3931907289493655040,WISEA J123557.39+132924.9,GALEX J123557.4+132924,188.98908124294735,13.490205538452708,206.3839922963594,,4.53,0.1,-0.1589,9.869874,224.82138,10.4354105,67.61723,9.160279,74.68537,8.29,0.034,7.68,0.02,7.57,0.029,7.405,0.034,7.465,0.021,7.381,0.018,7.234,0.1,19.7726993560791,0.1821,16.826799392700195,0.0208999998867511,Yes,Variable H-alpha,Normal Emission,Normal Emission,AAA,0000,AAAA,RS,SSG,,,,,,,,,,,,,,,
