,star,2MASS ID,source_id,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,2MASS_qph,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
764,ZTF J205212.59+213826.1,2MASS 20521259+2138261,1838886541229830144,WISEA J205212.59+213826.0,,313.0524688604346,21.64055775271028,1506.6788504935046,,1.09,0.32,-0.1313,14.980273,271.85834,15.6639385,75.05257,14.178798,90.46234,13.045,0.026,12.422,0.029,12.281,0.026,12.226,0.023,12.217,0.023,12.346,0.37,9.115,,,,,,,,,,AAA,0000,AACU,SSG,SSG,,,,,,,,,,,,,,,
765,ZTF J210141.61+223137.7,2MASS 21014161+2231377,1839196599210263168,WISEA J210141.61+223137.6,,315.4233825750417,22.52712969504459,1381.5598423991828,,5.54,0.47,-1.0177,14.528067,235.37798,15.173362,69.25808,13.646184,91.69667,12.48,0.025,11.893,0.032,11.69,0.022,11.663,0.023,11.657,0.021,11.218,0.14,9.057,,,,,,,,,,AAA,0000,AABU,cut,SSG,,,,,,,,,,,,,,,
766,ZTF J205940.75+224822.7,2MASS 20594075+2248227,1839267899964458880,WISEA J205940.75+224822.6,,314.9198132957658,22.806304163954795,1654.3728308827745,,15.01,0.41,-0.1715,15.381626,377.74017,16.072418,106.31173,14.567804,146.97995,13.457,0.024,12.865,0.032,12.702,0.033,12.652,0.024,12.631,0.023,12.132,,8.837,,,,,,,,,,AAA,0000,AAUU,SSG,SSG,,,,,,,,,,,,,,,
767,ZTF J205727.71+235438.3,2MASS 20572772+2354384,1839672142286382464,WISEA J205727.72+235438.2,GALEX J205727.7+235438,314.3655054535185,23.910627241636632,1943.6478826808568,,1.57,0.49,-0.4324,13.809647,1308.6503,14.210922,539.5528,13.233253,365.44318,12.496,0.021,12.083,0.022,12.007,0.02,11.905,0.022,11.949,0.022,12.181,0.356,8.757,,,,18.94799995422364,0.0759999975562095,,,,,AAA,0000,AACU,RS,RS,,,,,,,,,,,,,,,
768,ZTF J211415.27+234053.2,2MASS 21141525+2340532,1839981925390730112,WISEA J211415.26+234053.1,,318.56361351265167,23.68143642529385,1783.6856630875347,,6.64,0.43,-0.4408,15.613619,827.2161,16.234266,243.42462,14.85733,266.51544,13.827,0.025,13.307,0.026,13.112,0.036,13.145,0.024,13.191,0.028,12.637,,9.037,,,,,,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
769,ZTF J211303.73+243929.9,2MASS 21130375+2439301,1840650295318532096,WISEA J211303.74+243929.9,GALEX J211303.6+243929,318.26557079332173,24.65830027314736,1228.7086547932524,,1.54,0.28,-0.2712,13.694318,394.0769,14.123052,122.09133,13.085706,124.18758,12.289,0.021,11.89,0.02,11.796,0.018,11.76,0.023,11.776,0.023,12.064,0.286,9.129,,,,19.249900817871097,0.0520999990403652,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
770,ZTF J210733.84+252829.8,2MASS 21073382+2528297,1841333401277496064,WISEA J210733.84+252829.8,GALEX J210733.7+252829,316.89101980144835,25.474942310392976,1691.931661995842,,15.15,0.43,-0.2463,14.261897,381.99048,14.881727,102.92915,13.488639,140.25679,12.464,0.021,11.835,0.023,11.687,0.02,11.67,0.023,11.655,0.022,11.765,0.226,9.029,,,,21.53400039672852,0.3664000034332275,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
771,ZTF J211211.58+264903.3,2MASS 21121157+2649031,1841899477968693888,WISEA J211211.57+264903.1,GALEX J211211.6+264903,318.04826852879427,26.817569597796968,851.3256694468215,,12.86,0.37,-0.1577,13.261862,698.63257,13.865281,197.2227,12.518012,198.81224,11.628,0.024,10.957,0.028,10.891,0.018,10.799,0.023,10.798,0.021,10.537,0.072,8.777,,,,20.77639961242676,0.2362000048160553,,,,,AAA,0000,AAAU,RS,SSG,,,,,,,,,,,,,,,
772,ZTF J204654.58+223729.2,2MASS 20465457+2237292,1842062682428603520,WISEA J204654.58+223729.1,,311.7274000770936,22.624762574371296,1165.5559610136102,,2.38,0.33,-0.4146,13.576397,906.0889,14.036575,325.07462,12.918519,425.97702,11.975,0.021,11.546,0.017,11.413,0.019,11.375,0.023,11.397,0.022,11.141,0.133,8.839,,,,,,,,,,AAA,hhd0,AABU,cut,RS,,,,,,,,,,,,,,,
773,ZTF J205233.92+230128.8,2MASS 20523393+2301291,1842125908644000256,WISEA J205233.93+230128.8,,313.1414102326093,23.02467088521926,1877.804902523891,,4.43,0.3,-0.1049,15.280481,833.0226,15.835045,229.89206,14.562696,247.38017,13.561,0.028,13.057,0.032,12.956,0.03,12.917,0.024,12.924,0.025,12.778,,8.969,,,,,,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
774,ZTF J205222.40+231015.5,2MASS 20522241+2310155,1842154049269297792,WISEA J205222.41+231015.5,GALEX J205222.4+231016,313.09337653143655,23.170979386573617,1616.3179285699534,,14.06,0.3,,14.496978,1187.5981,15.00567,353.44675,13.82458,422.12054,12.989,0.024,12.492,0.031,12.395,0.026,12.344,0.023,12.385,0.024,11.927,0.355,9.074,,,,20.71929931640625,0.1991000026464462,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
775,ZTF J204436.07+230928.6,2MASS 20443607+2309286,1842327737747408512,WISEA J204436.08+230928.5,,311.15030123877017,23.15793621237744,1299.1375989466146,,0.88,0.34,,13.233812,426.41946,13.854184,122.63295,12.470421,162.26675,11.385,0.023,10.812,0.021,10.652,0.02,10.575,0.024,10.586,0.021,10.425,0.072,8.729,,,,,,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
776,ZTF J204355.93+231933.0,2MASS 20435593+2319330,1842345364293374080,WISEA J204355.92+231933.0,,310.98302991111683,23.32583816872088,1366.606752539278,,1.33,0.38,-0.067,13.653029,355.86066,14.274882,108.79889,12.88763,129.23874,11.836,0.023,11.246,0.022,11.089,0.02,11.046,0.023,11.052,0.021,10.857,0.089,8.683,,,,,,,,,,AAA,0000,AAAU,RS,SSG,,,,,,,,,,,,,,,
777,ZTF J204856.45+233315.0,2MASS 20485644+2333149,1842401714264073344,WISEA J204856.44+233314.9,,312.23518575232373,23.554145634302973,1905.6440818928552,,8.62,0.46,-0.3478,15.42866,541.11743,16.011452,149.68715,14.70047,199.38533,13.761,0.022,13.268,0.027,13.087,0.032,13.034,0.024,13.044,0.027,12.492,,9.05,,,,,,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
778,ZTF J204806.12+233448.5,2MASS 20480614+2334486,1842413735873845376,WISEA J204806.13+233448.4,,312.0255084890101,23.58012456501171,1308.4086489761437,,2.8,0.48,-0.329,14.855517,318.34814,15.669586,96.291405,13.965369,120.266014,12.651,0.022,11.947,0.019,11.76,0.02,11.671,0.023,11.613,0.022,11.08,0.133,8.768,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
779,ZTF J204033.32+242231.5,2MASS 20403331+2422315,1843406766674524672,WISEA J204033.32+242231.4,,310.1388464624985,24.375411627735065,1978.9711067132805,,9.65,0.41,0.1776,15.100605,767.17505,15.633019,181.80934,14.418051,187.31311,13.541,0.027,13.119,0.033,12.98,0.03,12.939,0.023,13.029,0.027,12.77,,9.035,,,,,,,,,,AAA,0h00,AAUU,RS,RS,,,,,,,,,,,,,,,
780,ZTF J203943.17+244050.2,2MASS 20394318+2440502,1843465629205529472,WISEA J203943.17+244050.2,,309.92989770604635,24.68059511299648,1066.8543005478402,,1.57,0.47,-0.6551,15.106159,787.1004,15.769375,223.68547,14.284116,292.60834,13.235,0.027,12.67,0.031,12.523,0.026,12.423,0.022,12.423,0.024,12.135,0.341,8.794,,,,,,,,,,AAA,0000,AABU,cut,SSG,,,,,,,,,,,,,,,
781,ZTF J204646.74+251857.1,2MASS 20464675+2518573,1843755831552367488,WISEA J204646.74+251857.1,,311.69475341641953,25.31585079642536,1348.6903167985029,,0.93,0.41,-0.1043,14.480137,902.98535,15.069061,256.18112,13.75043,337.94284,12.836,0.027,12.219,0.03,12.111,0.02,12.127,0.023,12.151,0.023,11.653,0.209,8.905,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
782,ZTF J205609.99+275048.9,2MASS 20560999+2750488,1845811643422764800,WISEA J205610.00+275048.7,GALEX J205610.0+275049,314.04165731931573,27.84689694601556,820.2980960838796,,5.52,0.45,-0.0716,13.004083,858.0685,13.556563,228.2056,12.301658,289.10168,11.42,0.022,10.91,0.022,10.795,0.017,10.729,0.022,10.762,0.02,10.596,0.082,8.679,,,,20.67970085144043,0.1986999958753585,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
783,ZTF J205646.17+282729.7,2MASS 20564618+2827298,1846226434183529984,WISEA J205646.17+282729.6,GALEX J205646.1+282732,314.1923958956824,28.45824947154347,1646.859329264253,,8.36,0.43,-0.1106,14.4572935,208.82155,15.058762,64.30498,13.695978,69.49948,12.62,0.023,12.047,0.02,11.902,0.022,11.812,0.023,11.814,0.022,11.439,0.137,9.235,,,,21.765600204467773,0.398499995470047,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
784,ZTF J211800.95+255334.2,2MASS 21180093+2553339,1846847623888762880,WISEA J211800.94+255334.0,,319.5039464166491,25.892802011967603,1615.2664019993035,,1.63,0.3,-0.4113,15.957704,280.0182,16.63645,70.44284,15.123133,104.752716,13.827,0.026,13.208,0.023,13.07,0.031,13.015,0.023,12.993,0.027,12.19,,8.796,,,,,,,,,,AAA,0000,AAUU,cut,SSG,,,,,,,,,,,,,,,
785,ZTF J211900.85+274202.3,2MASS 21190086+2742024,1847873124642267136,WISEA J211900.85+274202.2,GALEX J211900.7+274203,319.75355133324786,27.700619540249427,1589.1790546259074,,4.12,0.36,,14.672498,560.8526,15.195656,166.98053,13.989737,184.72969,13.08,0.023,12.61,0.022,12.469,0.023,12.421,0.024,12.453,0.025,12.315,0.413,8.959,,,,21.81049919128418,0.3102999925613403,,,,,AAA,0000,AACU,RS,RS,,,,,,,,,,,,,,,
786,ZTF J211302.82+271054.2,2MASS 21130283+2710542,1847957890117055232,WISEA J211302.83+271054.1,GALEX J211302.9+271054,318.2617895357011,27.18171631438676,1945.3435178978991,,7.29,0.43,0.0083,14.845642,2278.3782,15.304666,558.83124,14.219182,609.2166,13.469,0.024,13.08,0.024,12.991,0.027,12.98,0.025,12.968,0.026,12.558,0.422,8.625,,,,21.3080997467041,0.2694000005722046,,,,,AAA,0000,AACU,RS,RS,,,,,,,,,,,,,,,
787,ZTF J212210.70+281840.2,2MASS 21221069+2818401,1848291729334361728,WISEA J212210.70+281840.1,,320.54459558478754,28.311145690136097,1714.9964822672923,,3.06,0.35,0.0214,15.555051,298.18982,16.215317,79.99766,14.745667,110.39829,13.643,0.025,13.027,0.026,12.857,0.03,12.861,0.024,12.859,0.025,12.647,0.453,9.109,,,,,,,,,,AAA,0000,AACU,SSG,SSG,,,,,,,,,,,,,,,
788,ZTF J211817.14+284720.2,2MASS 21181714+2847202,1848545098045114624,WISEA J211817.15+284720.1,,319.57144572047804,28.7889306066485,1849.5750478984191,,3.74,0.41,-0.1305,15.2797575,610.11224,16.107855,146.6304,14.37291,188.11868,13.121,0.024,12.418,0.022,12.197,0.022,12.008,0.023,12.014,0.022,12.359,0.325,9.223,,,,,,,,,,AAA,hh00,AABU,SSG,SSG,,,,,,,,,,,,,,,
789,ZTF J212244.66+294724.3,2MASS 21224466+2947243,1848721432222417408,WISEA J212244.66+294724.3,GALEX J212244.7+294726,320.6861154718649,29.79008288102559,1507.038517182563,,15.81,0.46,-0.1026,14.712828,141.52893,15.473421,38.214012,13.860859,49.69703,12.412,0.024,11.766,0.022,11.611,0.018,11.64,0.023,11.628,0.021,11.437,0.161,8.876,,,,21.675600051879883,0.3662999868392944,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
790,ZTF J213241.43+274447.1,2MASS 21324143+2744468,1848800631417750144,WISEA J213241.43+274447.0,,323.1726497363145,27.746389900856094,1268.376776546873,,5.28,0.4,-0.3054,14.882264,432.14612,15.510291,119.54289,14.104349,145.22859,13.144,0.024,12.547,0.026,12.356,0.024,12.284,0.023,12.291,0.023,11.943,0.244,8.531,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
791,ZTF J213445.30+291621.7,2MASS 21344529+2916215,1849205148617709312,WISEA J213445.31+291621.6,,323.6887844853161,29.27268452734785,1771.3536827476053,,7.13,0.45,,14.921095,287.41122,15.610145,82.29614,14.111482,106.225296,13.17,0.028,12.565,0.031,12.358,0.029,12.18,0.023,12.186,0.023,12.212,0.446,9.116,,,,,,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
792,ZTF J214021.88+302017.7,2MASS 21402187+3020179,1849725045820430848,WISEA J214021.87+302017.8,GALEX J214021.8+302017,325.09116176745806,30.338263130517827,1435.7846743817588,,12.78,0.36,-0.1722,14.369781,529.4416,14.940096,150.53616,13.639539,192.91644,12.711,0.023,12.202,0.031,12.042,0.023,11.917,0.023,11.94,0.023,11.761,0.244,8.403,,,,21.8129997253418,0.3046000003814697,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
793,ZTF J212638.95+290841.4,2MASS 21263896+2908416,1849929035288012160,WISEA J212638.96+290841.5,,321.662319541964,29.144827309974826,1716.651796273782,,0.68,0.44,,15.973977,1221.5334,16.45513,318.0418,15.12336,700.45984,14.133,0.029,13.654,0.031,13.543,0.041,13.452,0.025,13.435,0.032,12.223,,8.956,0.473,,,,,,,,,AAA,0000,AAUC,cut,SSG,,,,,,,,,,,,,,,
794,Gaia DR2 1850441824321539456,2MASS 21325477+3024149,1850441824321539456,WISEA J213254.76+302414.8,,323.22818379150806,30.404079208435945,1564.6510800772687,,15.43,0.45,0.0195,14.900206,175.66182,15.692443,44.190704,14.008899,61.023132,12.485,0.021,11.785,0.018,11.596,0.013,11.548,0.023,11.528,0.021,11.455,0.164,9.148,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
795,ZTF J211439.83+292907.6,2MASS 21143983+2929076,1851826831016346752,WISEA J211439.83+292907.6,,318.66599295498673,29.4854368378358,1379.2940882874282,,3.77,0.34,-0.1842,14.64428,607.5893,15.311918,148.399,13.845388,219.08382,12.749,0.022,12.107,0.031,11.98,0.024,11.931,0.023,11.917,0.022,11.992,0.29,8.535,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
796,ZTF J210701.58+293726.7,2MASS 21070156+2937266,1852175578061885568,WISEA J210701.55+293726.8,,316.7565928847685,29.624075497231676,1330.7137649777078,,6.58,0.41,,15.209528,318.23395,15.850118,101.22499,14.370601,106.463684,12.929,0.029,12.316,0.029,12.16,0.028,11.915,0.026,11.885,0.025,12.082,0.263,8.997,,,,,,,,,,EEA,00P0,AABU,SSG,SSG,,,,,,,,,,,,,,,
797,ASASSN-V J211256.97+313724.6,2MASS 21125697+3137248,1852910124852815104,WISEA J211256.97+313724.7,,318.23739660315863,31.623504795882337,850.5120894083661,,5.41,0.48,0.0159,13.262852,318.1115,13.936696,95.63396,12.4622135,115.32384,11.278,0.021,10.669,0.022,10.523,0.017,10.47,0.022,10.47,0.02,10.342,0.06,9.124,0.535,,,,,,,,,AAA,0000,AAAC,RS,SSG,,,,,,,,,,,,,,,
798,ZTF J212751.15+330058.5,2MASS 21275115+3300585,1854222598137451904,WISEA J212751.15+330058.4,,321.9631564596218,33.01623620862685,1854.449051864325,,12.0,0.49,,14.180694,655.06177,14.737936,210.18446,13.448291,208.62906,12.412,0.021,11.786,0.018,11.655,0.016,11.521,0.023,11.503,0.021,11.006,0.12,8.826,0.409,,,,,,,,,AAA,hh00,AABC,RS,RS,,,,,,,,,,,,,,,
799,ZTF J212901.20+333057.2,2MASS 21290120+3330573,1854272900795342848,WISEA J212901.20+333057.2,GALEX J212901.2+333057,322.25500528444906,33.51589432630155,1901.1528343865052,,3.93,0.47,-0.2243,15.768691,316.21823,16.409588,89.88458,14.980543,118.56901,13.949,0.021,13.281,0.025,13.247,0.033,13.178,0.025,13.146,0.028,12.549,,8.777,,,,21.580299377441406,0.4223999977111816,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
800,ZTF J211633.10+325324.5,2MASS 21163311+3253244,1854780806448258944,WISEA J211633.10+325324.4,,319.13795456279144,32.890122967093184,1982.1003603690588,,1.22,0.34,,14.612751,395.37073,15.308231,121.54413,13.789536,146.7002,12.662,0.02,11.975,0.023,11.82,0.02,11.763,0.023,11.754,0.021,11.649,0.198,9.236,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
801,ZTF J212223.68+330305.9,2MASS 21222368+3303060,1854927934847216000,WISEA J212223.68+330305.9,,320.59867747709535,33.05162289143737,932.5880467967592,,3.81,0.36,,13.65072,504.51144,14.337395,147.03282,12.832675,190.4161,11.407,0.025,10.775,0.022,10.618,0.012,10.622,0.023,10.57,0.02,10.42,0.063,8.759,,,,,,,,,,AAA,0h00,AAAU,SSG,SSG,,,,,,,,,,,,,,,
802,ZTF J205322.50+284839.4,2MASS 20532251+2848394,1857940287472039424,WISEA J205322.51+284839.4,,313.34379059465556,28.810932098044965,1626.8073070592538,,1.08,0.48,0.0194,14.802765,511.21503,15.425874,126.55847,14.041671,147.79141,13.031,0.028,12.418,0.032,12.288,0.028,12.167,0.023,12.22,0.022,11.948,0.276,8.574,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
803,ZTF J205715.70+300905.9,2MASS 20571570+3009059,1858546187104451456,WISEA J205715.71+300905.9,,314.3154402811197,30.15163107052566,1735.9788967414752,,4.8,0.48,-0.2196,15.610798,521.78217,16.307495,154.68518,14.779154,195.6531,13.496,0.026,12.896,0.024,12.744,0.027,12.696,0.023,12.706,0.025,12.092,,9.095,,,,,,,,,,AAA,0000,AAUU,SSG,SSG,,,,,,,,,,,,,,,
804,ZTF J211309.75+350557.1,2MASS 21130976+3505570,1867228583746337536,WISEA J211309.76+350557.0,,318.29065082312627,35.09917560854708,1919.109026385558,,5.45,0.38,-0.1615,15.245586,369.49866,15.972398,113.79712,14.384981,131.58636,13.091,0.025,12.396,0.023,12.24,0.022,12.055,0.024,12.094,0.022,12.179,0.316,9.047,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
805,ZTF J211933.21+354002.3,2MASS 21193321+3540022,1867527685268509312,WISEA J211933.21+354002.2,,319.88840842268496,35.66729270542599,1523.112997116276,,23.68,0.4,-0.2496,14.291234,1136.1697,14.859675,330.11368,13.574807,427.92087,12.706,0.024,12.142,0.022,12.02,0.02,11.894,0.023,11.962,0.023,12.011,0.265,9.178,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
806,ZTF J211325.52+354257.9,2MASS 21132553+3542579,1867672374127531648,WISEA J211325.53+354257.8,,318.35635972077733,35.716050760048795,1535.8696544434022,,16.87,0.46,-0.7274,13.706734,763.11725,14.191887,232.6695,13.04416,242.21465,12.162,0.022,11.66,0.023,11.537,0.02,11.462,0.023,11.479,0.021,11.435,0.13,9.103,,,,,,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
807,ZTF J211025.95+363103.0,2MASS 21102595+3631029,1868517967291016704,WISEA J211025.94+363103.0,,317.6081461582497,36.51749510736331,1424.7616313064973,,6.89,0.44,-0.0105,14.671208,286.0953,15.335634,84.91624,13.8760805,100.42086,12.759,0.026,12.117,0.029,11.945,0.018,11.822,0.023,11.804,0.021,11.75,0.207,8.831,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
808,ZTF J223057.88+212147.3,2MASS 22305789+2121472,1873975874279212416,WISEA J223057.89+212147.3,GALEX J223057.9+212149,337.74120299198796,21.36313900423631,1044.4338334551703,,13.01,0.11,,13.9329815,587.429,14.507621,129.6554,13.212891,193.33899,12.338,0.021,11.751,0.022,11.612,0.021,11.525,0.024,11.555,0.021,11.488,0.21,8.776,,,,21.078399658203125,0.2258999943733215,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
809,ZTF J223259.17+215554.7,2MASS 22325920+2155548,1874375512397004416,WISEA J223259.19+215554.6,GALEX J223259.1+215555,338.24659007162313,21.931861329436018,1756.149641521225,,4.02,0.14,-0.8367,14.448602,418.20694,14.962439,125.94751,13.754061,152.41235,12.828,0.023,12.287,0.022,12.181,0.024,11.988,0.023,11.984,0.022,12.309,0.39,9.147,,,,20.52300071716309,0.130400002002716,,,,,AAA,hhH0,AACU,RS,SSG,,,,,,,,,,,,,,,
810,CSS J224209.4+250147,2MASS 22420942+2501480,1877454248033704192,WISEA J224209.42+250147.9,GALEX J224209.4+250146,340.53927684434797,25.029978625446184,1096.1726072664326,,5.85,0.19,-1.128,14.918234,296.93484,15.456717,88.86334,14.153225,130.49155,13.175,0.023,12.64,0.022,12.521,0.027,12.481,0.024,12.502,0.025,11.938,0.244,9.192,,,,22.197799682617188,0.3472999930381775,,,,,AAA,0000,AABU,cut,SSG,,,,,,,,,,,,,,,
811,ZTF J221638.93+233449.2,2MASS 22163892+2334488,1878398522363779328,WISEA J221638.92+233449.1,GALEX J221639.0+233447,334.1622159174945,23.58032917823508,1892.9683224294915,,12.71,0.21,,14.975882,291.50394,15.58611,80.21987,14.2163315,100.27878,13.438,0.027,12.794,0.03,12.638,0.029,12.468,0.024,12.484,0.024,12.32,0.381,9.275,,,,22.45159912109375,0.417600005865097,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
812,V0644 Peg,2MASS 22343426+2707461,1881136306316846208,WISEA J223434.25+270746.1,,338.64268002829135,27.129446945948654,541.9608682992435,,13.48,0.12,,12.049925,271.27585,12.613746,72.348526,11.319843,100.69106,10.217,0.023,9.673,0.021,9.573,0.022,9.582,0.023,9.59,0.02,9.459,0.038,8.435,,,,,,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
813,ZTF J222628.96+281509.0,2MASS 22262896+2815090,1882242827331274368,,,336.62070074236357,28.25250404879835,1865.3025206203024,,7.38,0.22,-0.5633,15.302866,208.072,15.926005,64.24832,14.512395,78.06544,13.421,0.026,12.842,0.031,12.622,0.026,,,,,,,,,,,,,,,,,AAA,,,SSG,SSG,,,,,,,,,,,,,,,
814,CSS J225448.7+261327,2MASS 22544873+2613271,1882769596480687488,WISEA J225448.73+261327.1,GALEX J225448.6+261327,343.7030653467111,26.224193817610292,769.8430715990443,,13.34,0.28,-0.1315,13.356746,536.91455,13.995979,155.91733,12.579268,207.03459,11.65,0.018,11.038,0.016,10.869,0.017,10.741,0.023,10.742,0.02,10.645,0.108,9.034,,,,20.968799591064453,0.1536000072956085,,,,,AAA,0000,AAAU,SSG,SSG,,,,,,,,,,,,,,,
815,ZTF J224938.56+255731.6,2MASS 22493856+2557316,1882891745349705600,WISEA J224938.56+255731.6,GALEX J224938.5+255732,342.41069460757524,25.958767714088996,1078.0188314781235,,9.17,0.33,-0.1602,14.236596,451.0098,14.970063,118.68359,13.398909,150.22089,12.571,0.021,11.853,0.022,11.655,0.018,11.436,0.023,11.407,0.021,11.122,0.132,9.037,,,,22.05290031433105,0.3675999939441681,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
816,ZTF J225028.89+262610.7,2MASS 22502890+2626106,1883003002184087552,WISEA J225028.89+262610.7,,342.62039786974066,26.436303529545047,1844.305882833068,,4.47,0.27,,15.514965,329.55023,16.15917,87.96016,14.741113,116.54678,13.678,0.024,13.113,0.028,12.954,0.025,12.909,0.023,12.95,0.027,12.691,0.536,9.003,,,,,,,,,,AAA,0000,AACU,SSG,SSG,,,,,,,,,,,,,,,
817,V0542 Peg,2MASS 22470553+2652546,1883743690766163968,WISEA J224705.54+265254.6,GALEX J224705.5+265254,341.773091434953,26.88185129427544,546.9515934259298,,2.22,0.19,-0.181,10.917288,389.39755,11.446664,126.8613,10.223187,147.04324,9.532,0.025,8.93,0.024,8.85,0.018,8.643,0.022,8.687,0.02,8.613,0.024,8.325,0.266,,,18.191499710083008,0.0419999994337558,,,,,AAA,0000,AAAB,RS,RS,,,,,,,,,,,,,,,
818,ZTF J225546.27+284056.3,2MASS 22554629+2840562,1884393300277003136,WISEA J225546.28+284056.3,GALEX J225546.2+284058,343.9428466921005,28.68230339151035,971.6169770290668,,1.07,0.16,,13.624957,1446.9281,14.12185,375.43658,12.964898,662.9056,12.102,0.021,11.639,0.022,11.538,0.02,11.439,0.023,11.507,0.022,11.19,0.128,8.84,,,,20.197599411010746,0.1216999962925911,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
819,ZTF J225413.83+283227.6,2MASS 22541381+2832275,1884411918958177280,WISEA J225413.82+283227.5,GALEX J225413.8+283227,343.55762337511567,28.541001577921655,1393.1779229017675,,4.7,0.14,-0.1702,14.159465,562.6157,14.648454,164.32776,13.499378,184.46005,12.684,0.023,12.189,0.022,12.073,0.021,11.985,0.022,12.015,0.023,12.233,0.336,8.772,,,,20.98360061645508,0.159400001168251,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
820,ZTF J230802.15+304513.5,2MASS 23080214+3045135,1885838814470160000,WISEA J230802.15+304513.4,GALEX J230802.1+304513,347.0089833172861,30.753736145291143,1115.8190417294636,,1.19,0.19,-0.7959,13.86664,252.3949,14.49963,73.210045,13.09614,85.62637,11.903,0.025,11.388,0.034,11.249,0.018,11.227,0.022,11.217,0.021,11.006,0.142,8.35,,,,21.01759910583496,0.1635999977588653,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
821,ZTF J230159.47+295331.8,2MASS 23015947+2953319,1886064798469149056,WISEA J230159.47+295331.9,,345.4978249701562,29.89217579821958,1879.395327830583,,11.82,0.14,0.0934,15.087968,1445.4386,15.58041,316.94153,14.434113,502.82626,13.644,0.027,13.245,0.026,13.196,0.037,13.049,0.024,13.084,0.029,12.215,,8.874,,,,,,,,,,AAA,0000,AAUU,RS,RS,,,,,,,,,,,,,,,
822,ZTF J230227.97+302213.0,2MASS 23022797+3022130,1886468868992153088,WISEA J230227.97+302212.9,,345.6165611221438,30.37027263749954,1567.220929060589,,5.4,0.14,-0.1006,14.482959,418.80527,15.06649,112.02392,13.754682,157.49171,12.805,0.025,12.236,0.021,12.085,0.021,11.963,0.024,11.988,0.022,12.353,0.358,8.871,,,,,,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
823,ZTF J230359.97+304930.7,2MASS 23035998+3049308,1886553393948741248,WISEA J230359.98+304930.6,,345.9999272129874,30.82518772029379,1741.7723803828048,,0.53,0.16,-0.0999,14.884021,643.6397,15.348157,192.84747,14.25592,205.89516,13.524,0.024,13.093,0.031,12.971,0.032,12.872,0.024,12.91,0.027,12.454,,9.176,,,,,,,,,,AAA,0000,AAUU,RS,RS,,,,,,,,,,,,,,,
